861334030403225,861334030403225
861334030403324,861334030403324
861334030403720,861334030403720
861334030403001,861334030403001
861334030403100,861334030403100
861334030405873,861334030405873
861334030401088,861334030401088
861334030403183,861334030403183
861334030403381,861334030403381
861334030403191,861334030403191
861334030411046,861334030411046
861334030416656,861334030416656
861334030416128,861334030416128
861334030411772,861334030411772
861334030416573,861334030416573
861334030419478,861334030419478
861334030420757,861334030420757
861334030411582,861334030411582
861334030403605,861334030403605
861334030416250,861334030416250
